item	priority	status	what_was_found	source_path	checksum_or_identity	notes
per-normal CNVkit coverage files	High	found	SRR4039087/88/89/96/97 .sorted.targetcoverage.cnn (290,475 bins) and .sorted.antitargetcoverage.cnn (42,709 bins); one byte-identical copy in each of the 23 model output dirs (SHA-256 identical across all 23 per file)	/project/6090753/active/ovcan_gq_analysis/cnvkit/<model>_new/SRR40390*.sorted.*coverage.cnn (copied: /project/6090753/active/ovcan_human/wes/cnvkit_0.9.10_manual/<model>_new/; bundle ovcan_human_wes_cnv_coverage_2026-09-06.tar.gz normals/)	SHA-256 per file in bundle SHA256SUMS and in /project/6090753/active/ovcan_human/MANIFEST.sha256	normal target depth (length-weighted mean, depth column) 75.85-95.72x; antitarget depth 0.45-0.63x with 2.4-2.6 % zero bins
per-model CNVkit coverage files	High	found	<model>.targetcoverage.cnn and .antitargetcoverage.cnn for all 23	same dirs; bundle models/	bundle SHA256SUMS	target depth 78.6-98.7x; antitarget: 42,705/42,709 bins zero depth in every model, mean 0.0000x
pooled reference	High	found	reference.cnn 333,184 rows (290,475 target + 42,709 antitarget), identical in all 23 dirs	cnvkit/<model>_new/reference.cnn; bundle normals/reference.cnn	sha256 848c052274264ac544897977648860455ac742d89bc1de5edc7ece1ca185eeda	matches the 35 local copies cited in FOLLOWUP.md
CNVkit plots	High	found	<model>-diagram.pdf and <model>-scatter.png for all 23	cnvkit/<model>_new/; bundle plots/	bundle SHA256SUMS	PDF producer ReportLab, PNG tEXt 'Matplotlib version 3.7.0' (environment of the cnvkit 0.9.10 image); CreationDate e.g. 2025-12-03 17:35 for the re-run models
antitarget comparability (why model antitargets are empty)	High	found (explained)	Manual CNVkit inputs were <model>.recal.bam converted by the Oct-24 Sarek CNVKIT_BATCH tasks from recal CRAMs that Sarek had produced by per-interval-shard ApplyBQSR (405 shards, no padding); those CRAMs contain only reads overlapping the shards, so off-target reads were physically absent. The normals were full bwa-mem2 alignments and keep 0.45-0.63x off-target depth. Sarek's own CNVKIT_BATCH log for OV1369_R2_P66 shows antitarget '#reads=492, mean=0.0115' for the same BAM.	task_evidence/oct24_CNVKIT_BATCH_*/.command.{sh,err}; task_evidence/oct23_GATK4_APPLYBQSR_*; qc_metrics (samtools recal vs md)	-	consequence: antitarget bins carry no tumour signal and are dropped/neutral; profiles are target-supported. Not a biological deletion. The zero-depth pattern is a processing artefact of interval-restricted inputs.
manual CNVkit execution: scheduler logs	High	not found in searched locations	no slurm-*.out/.err from run_cnvkit.sh in cnvkit/, ovcan_gq_analysis/ (depth 3), or the scratch tar index; Slurm accounting (sacct, PrivateData=none) holds no records before 2026-09-01, so Nov-Dec 2025 jobs cannot be recovered from slurmdbd	searched: /project/6090753/active/ovcan_gq_analysis, ovcan.tar.gz index, sacct -u asmab -S 2025-11-01 -E 2025-12-06	-	asmab's home directory was not searched (not authorised)
manual CNVkit execution: indirect evidence	High	partially found	run_cnvkit.sh (mtime 2025-12-03 13:12) reads commands1.txt (2025-12-03 13:11, the six corrected lines); commands.txt mtime 2025-12-03 12:58; output dirs: 20 models written 2025-11-14 16:01-16:08, TOV2929D_P57 (and the other five corrected models) rewritten 2025-12-03 up to 17:52; plot metadata dates agree; per-normal coverage and reference.cnn byte-identical across all 23 dirs, consistent with one reference recipe	cnvkit/{run_cnvkit.sh,commands.txt,commands1.txt,*_new/}	mtimes recorded in file_inventory (2026-09-05)	saved command text plus timestamped outputs; no log proves the exact invocation. Array 1-27 exceeds 23/6 lines; surplus tasks evaluate an empty command.
manual CNVkit tool version	High	partially found	image name cnvkit-0.9.10--pyhdfd78af_0.img (biocontainers tag) in commands.txt; image file lives in /scratch/asmab/nf-core (permission denied) and is not in the tar	commands.txt; tar index	tag only; no digest	Sarek-internal CNVKIT_BATCH versions.yml (Oct-24) records cnvkit 0.9.10 / samtools 1.21 for the Sarek container, a different image
CNVkit input alignments	High	found	all 23 <model>.recal.bam in work/<hash>/ (6.77-8.60 GB, mtime 2025-10-24 19:04-19:07) are `samtools view -T FASTA` conversions of <model>.recal.cram symlinked to the Oct-24 recal CRAMs in work/ (all 23 targets still present, 4.41-5.63 GB, mtime 2025-10-24 18:57-19:01)	task_evidence/oct24_CNVKIT_BATCH_*/_dir_listing.txt; readlink on work/<hash>/<model>.recal.cram	sizes and mtimes only; no checksum (too large to hash on login node)	for the 10 models whose published recal CRAM still dates from Oct-24, the work copy has the same byte size; for the 13 rewritten on Oct-31 the published file differs by a few hundred bytes (re-execution). The Oct-24 CRAMs in work/ are therefore the exact CNVkit inputs and still exist.
original 22-model vcf2maf conversion	Medium	not found in searched locations	no vcf2maf script/log/MAF in ovcan_gq_analysis (depth 3), work/ task names, or the tar index; Sarek 3.5.1 has no MAF step	same roots	-	consistent with conversion on the workstation (judy_archive); version remains known only for the TOV3121D reconstruction
