task_id	status	models_assessed	evidence_files	missing_inputs	proposed_command_file	estimated_resources	operator_authorization	qc_result	next_action
MEX01	found_existing	23/23 (16 patients)	input_inventory.tsv; recovery/2026-09-05 model_status.tsv; recovery/2026-09-06 followup_inventory.tsv	none for inventory; provider BAM headers unread (tool block)		none	n/a (discovery)	23 md CRAM + crai present; 23 recal CRAM quickcheck OK; 23 Oct-24 recal CRAM + BAM in work/; reference FASTA staged & hash-verified; recal CRAMs interval-restricted (established)	operator to confirm alignment choice: md.cram for MSI/read review, Oct-24 recal CRAM for MEX05/06
MEX02	ready_for_pilot	25 regions / 13 models	inputs/bam_review_regions.bed	none	scripts/mex02_03_locus_review.sbatch	1 job, 2 CPU, 8 GB, <2 h	REQUIRED		authorise; then pysam parse of slices for strand/MAPQ/read-position/haplotype tables
MEX03	ready_for_pilot	25 model-locus pairs / 12 models	inputs/locus_review_regions.bed; target-only CNR/CNS verified	none	scripts/mex02_03_locus_review.sbatch	same job as MEX02	REQUIRED		authorise; per-target/per-exon depth tables for model + 5 normals; exon mapping from repo canonical_transcript_exons.json
MEX04	ready_for_pilot	4 pilot models (TOV21G, TOV2414, TOV3392D, OV3331)	MSIsensor2 container + models staged	no MSI-positive control BAM available; PCGR 2022 did NOT run MSI (config msi.run=false)	scripts/mex04_msisensor2_pilot.sbatch	array 4 x (4 CPU, 16 GB, ~1.5 h)	REQUIRED		authorise pilot; scale to 23 only if site yield is interpretable
MEX05	needs_input	5 pilot models	executed Mutect2 command confirms genotype flags false, padding 0; GATK 4.5.0.0 container + PoN + gnomAD staged	no eligible germline-site VCF exists: regeneration required	scripts/mex05_mutect2_germline_sites.sbatch (+ optional mex05b for 5 normals)	array 5 x (4 CPU, 16 GB, 3-6 h); optional normals array 5 x same	REQUIRED		authorise regeneration on the Oct-24 recal CRAMs (exact CNVkit inputs); note flanking coverage tapers within ~100 bp of targets
MEX06	needs_input	5 pilot models	target-only CNR reconstructed & hash-verified 23/23; corrected CNS in repo; PureCN 2.14.1 available	MEX05 VCFs	scripts/mex06_purecn_pilot.sbatch	array 5 x (4 CPU, 16 GB, <3 h) after MEX05	REQUIRED (after MEX05)		two fits per model (broad grid; high-purity/high-CN sensitivity); mapping bias optional via mex05b + NormalDB.R
MEX07	not_searched			credible MEX06 fits; pinned scarHRD (not on Nibi; R package from GitHub or vendored copy needed)		trivial CPU once fits exist	REQUIRED		install scarHRD from a pinned commit into ~/R only if MEX06 fits pass QC
MEX08	found_existing (partial)		MEX02 regions include TOV81D BRCA2 and CDK12 loci; VEP 113 cache staged in work/	VEP container (pull needed); RNA junctions absent			REQUIRED for re-annotation		read review via MEX02 job first; re-annotation only if needed
MEX09	not_searched		mosdepth per-base (md) exists for callability; no matched normals exist						propose after MEX05: callable territory from mosdepth per-base at >=20x within targets
MEX10	not_found			no RNA alignments in WES roots					operator to point at RNA FASTQ/alignment location if a bounded STAR/junction pilot is wanted
MEX11	not_searched			proteomics records not in WES roots					operator to supply location
