protein,present_n_lines,present_n_plex,plexes_present,plexes_absent,absent_from_any_plex,pct_lines_missing,pass_presence50
SMIM26,31,5,1;2;3;4;5,,FALSE,0,TRUE
GATD3B,0,0,,1;2;3;4;5,TRUE,100,FALSE
UBE2L5,7,1,1,2;3;4;5,TRUE,77.4,FALSE
RBM47,31,5,1;2;3;4;5,,FALSE,0,TRUE
TMEM129,18,3,1;2;3,4;5,TRUE,41.9,TRUE
UBA6,31,5,1;2;3;4;5,,FALSE,0,TRUE
ESYT2,31,5,1;2;3;4;5,,FALSE,0,TRUE
MED19,31,5,1;2;3;4;5,,FALSE,0,TRUE
UHRF1BP1L,31,5,1;2;3;4;5,,FALSE,0,TRUE
SHTN1,31,5,1;2;3;4;5,,FALSE,0,TRUE
TMEM223,31,5,1;2;3;4;5,,FALSE,0,TRUE
TMEM120B,31,5,1;2;3;4;5,,FALSE,0,TRUE
ARHGAP10,24,4,2;3;4;5,1,TRUE,22.6,TRUE
MEX3A,13,2,1;2,3;4;5,TRUE,58.1,FALSE
ILVBL,31,5,1;2;3;4;5,,FALSE,0,TRUE
C1orf226,13,2,1;2,3;4;5,TRUE,58.1,FALSE
NDUFAF8,31,5,1;2;3;4;5,,FALSE,0,TRUE
PLEKHG3,31,5,1;2;3;4;5,,FALSE,0,TRUE
SH3PXD2B,31,5,1;2;3;4;5,,FALSE,0,TRUE
BCLAF3,11,2,3;4,1;2;5,TRUE,64.5,FALSE
NBAS,31,5,1;2;3;4;5,,FALSE,0,TRUE
TARSL2,6,1,2,1;3;4;5,TRUE,80.6,FALSE
DENND3,11,2,2;3,1;4;5,TRUE,64.5,FALSE
VWA8,31,5,1;2;3;4;5,,FALSE,0,TRUE
SBNO1,31,5,1;2;3;4;5,,FALSE,0,TRUE
GTPBP10,31,5,1;2;3;4;5,,FALSE,0,TRUE
WDR91,31,5,1;2;3;4;5,,FALSE,0,TRUE
KLRG2,31,5,1;2;3;4;5,,FALSE,0,TRUE
RAB19,31,5,1;2;3;4;5,,FALSE,0,TRUE
LCHN,31,5,1;2;3;4;5,,FALSE,0,TRUE
MBLAC1,13,2,1;2,3;4;5,TRUE,58.1,FALSE
MTMR11,31,5,1;2;3;4;5,,FALSE,0,TRUE
POTEF,0,0,,1;2;3;4;5,TRUE,100,FALSE
VPS37C,31,5,1;2;3;4;5,,FALSE,0,TRUE
TMEM189,31,5,1;2;3;4;5,,FALSE,0,TRUE
TRAPPC13,31,5,1;2;3;4;5,,FALSE,0,TRUE
CNOT1,31,5,1;2;3;4;5,,FALSE,0,TRUE
C2orf72,20,3,1;4;5,2;3,TRUE,35.5,TRUE
FAM83G,11,2,2;3,1;4;5,TRUE,64.5,FALSE
PALM3,19,3,1;2;4,3;5,TRUE,38.7,TRUE
PGP,31,5,1;2;3;4;5,,FALSE,0,TRUE
C5orf51,31,5,1;2;3;4;5,,FALSE,0,TRUE
RCCD1,6,1,2,1;3;4;5,TRUE,80.6,FALSE
PLEKHD1,20,3,1;2;5,3;4,TRUE,35.5,TRUE
ZNF316,31,5,1;2;3;4;5,,FALSE,0,TRUE
TUBAL3,31,5,1;2;3;4;5,,FALSE,0,TRUE
FBLL1,19,3,1;2;4,3;5,TRUE,38.7,TRUE
SMCHD1,31,5,1;2;3;4;5,,FALSE,0,TRUE
CASTOR2,12,2,2;4,1;3;5,TRUE,61.3,FALSE
UNC119B,31,5,1;2;3;4;5,,FALSE,0,TRUE
METTL15,31,5,1;2;3;4;5,,FALSE,0,TRUE
LIPT2,24,4,2;3;4;5,1,TRUE,22.6,TRUE
CCDC85C,31,5,1;2;3;4;5,,FALSE,0,TRUE
SAC3D1,31,5,1;2;3;4;5,,FALSE,0,TRUE
RTL1,7,1,1,2;3;4;5,TRUE,77.4,FALSE
RTL8C,31,5,1;2;3;4;5,,FALSE,0,TRUE
ZSWIM8,26,4,1;2;4;5,3,TRUE,16.1,TRUE
ARHGAP32,5,1,3,1;2;4;5,TRUE,83.9,FALSE
POM121C,31,5,1;2;3;4;5,,FALSE,0,TRUE
CLCA1,7,1,5,1;2;3;4,TRUE,77.4,FALSE
DDX11L8,0,0,,1;2;3;4;5,TRUE,100,FALSE
LYRM9,31,5,1;2;3;4;5,,FALSE,0,TRUE
CEBPZOS,31,5,1;2;3;4;5,,FALSE,0,TRUE
ZNF724,0,0,,1;2;3;4;5,TRUE,100,FALSE
FAM171A2,25,4,1;2;3;5,4,TRUE,19.4,TRUE
PHF20L1,31,5,1;2;3;4;5,,FALSE,0,TRUE
SNRPGP15,6,1,2,1;3;4;5,TRUE,80.6,FALSE
NUDT19,31,5,1;2;3;4;5,,FALSE,0,TRUE
MIF4GD,25,4,1;3;4;5,2,TRUE,19.4,TRUE
FER1L4,19,3,1;3;5,2;4,TRUE,38.7,TRUE
MYO1G,5,1,3,1;2;4;5,TRUE,83.9,FALSE
IQCJ-SCHIP1,0,0,,1;2;3;4;5,TRUE,100,FALSE
RABGAP1L,31,5,1;2;3;4;5,,FALSE,0,TRUE
PPP1R3G,13,2,1;2,3;4;5,TRUE,58.1,FALSE
RASA4B,0,0,,1;2;3;4;5,TRUE,100,FALSE
TMEM238,31,5,1;2;3;4;5,,FALSE,0,TRUE
MCRIP1,31,5,1;2;3;4;5,,FALSE,0,TRUE
STMP1,31,5,1;2;3;4;5,,FALSE,0,TRUE
UPK3BL2,17,3,2;3;4,1;5,TRUE,45.2,TRUE
C11orf98,31,5,1;2;3;4;5,,FALSE,0,TRUE
CROCC2,25,4,1;3;4;5,2,TRUE,19.4,TRUE
SLC35A4,31,5,1;2;3;4;5,,FALSE,0,TRUE
ASDURF,31,5,1;2;3;4;5,,FALSE,0,TRUE
MIEF1,31,5,1;2;3;4;5,,FALSE,0,TRUE
DNASE2,31,5,1;2;3;4;5,,FALSE,0,TRUE
AGPS,31,5,1;2;3;4;5,,FALSE,0,TRUE
UBXN8,31,5,1;2;3;4;5,,FALSE,0,TRUE
KIF2A,31,5,1;2;3;4;5,,FALSE,0,TRUE
TK2,31,5,1;2;3;4;5,,FALSE,0,TRUE
DDX39A,31,5,1;2;3;4;5,,FALSE,0,TRUE
PDLIM1,31,5,1;2;3;4;5,,FALSE,0,TRUE
ACOT7,31,5,1;2;3;4;5,,FALSE,0,TRUE
MYO1C,31,5,1;2;3;4;5,,FALSE,0,TRUE
SNAP23,31,5,1;2;3;4;5,,FALSE,0,TRUE
HAX1,31,5,1;2;3;4;5,,FALSE,0,TRUE
AIP,31,5,1;2;3;4;5,,FALSE,0,TRUE
GTPBP1,31,5,1;2;3;4;5,,FALSE,0,TRUE
LGALS9,31,5,1;2;3;4;5,,FALSE,0,TRUE
STXBP3,31,5,1;2;3;4;5,,FALSE,0,TRUE
