task_id	cell_line	input_role	status	verified_path	symlink_target	bytes	sha256_if_small	sample_run_id	genome_reference	passage	software_version	source_command_or_log	evidence_notes
MEX01	OV1369-R2	duplicate-marked genome-wide CRAM (MSI / read review input)	verified	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/markduplicates/OV1369_R2_P66/OV1369_R2_P66.md.cram		3569942479		sarek 3.5.1 angry_allen 2025-10-23 (Slurm 3273686)	GRCh38 (GATK Homo_sapiens_assembly38)	P66	GATK 4.5.0.0 MarkDuplicates; bwa 0.7.18; samtools 1.20/1.21	/project/6090753/active/ovcan_human/wes/sarek_3.5.1_run/task_evidence/oct23_GATK4_MARKDUPLICATES_*	lane PU 6; RG SM OV1369_R2_P66_OV1369_R2_P66; all reads incl. off-target; not BQSR'd; index .crai present; mtime_utc=2025-10-29T15:21Z
MEX01	OV1369-R2	published recalibrated CRAM (interval-restricted; mixed Oct-24/Oct-31 re-executions)	verified	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/recalibrated/OV1369_R2_P66/OV1369_R2_P66.recal.cram		5278431543		sarek 3.5.1 Oct-24 or Oct-31 launch (see mtime)	GRCh38 (GATK Homo_sapiens_assembly38)	P66	GATK 4.5.0.0 ApplyBQSR per shard		reads overlapping the 405 calling shards only; samtools quickcheck OK 2026-09-05; VCF headers name this filename but bytes are re-executions; mtime_utc=2025-10-31T17:58Z
MEX01	OV1369-R2	Oct-24 recalibrated CRAM in work/ = exact manual-CNVkit input (proposed MEX05/MEX06 alignment)	verified	/project/6090753/active/ovcan_gq_analysis/work/d0/613f050ec629725c37e4d3f2589e67/OV1369_R2_P66.recal.cram		5278429721		sarek 3.5.1 angry_kilby 2025-10-24 (Slurm 3377445)	GRCh38 (GATK Homo_sapiens_assembly38)	P66	GATK 4.5.0.0	/project/6090753/active/ovcan_human/wes/sarek_3.5.1_run/task_evidence/oct24_CNVKIT_BATCH_OV1369_R2_P66.*	interval-restricted like all recal CRAMs; index .crai alongside in work dir; mtime_utc=2025-10-24T22:58Z
MEX01	OV1369-R2	manual-CNVkit input BAM (samtools view of the Oct-24 recal CRAM)	verified	/project/6090753/active/ovcan_gq_analysis/work/a5/a947cdda816a6ac440c35f5a99d7c7/OV1369_R2_P66.recal.bam		8094734244		Oct-24 CNVKIT_BATCH task	GRCh38 (GATK Homo_sapiens_assembly38)	P66	samtools 1.21 (Sarek cnvkit container)		historical hint ../work/a5/a947cdda816a6ac440c35f5a99d7c7/OV1369_R2_P66.recal.bam resolves relative to /project/6090753/active/ovcan_gq_analysis/cnvkit; mtime_utc=2025-10-24T23:05Z
MEX01	OV1369-R2	provider GRCh37 BAM (Sarek samplesheet input; deposition candidate)	verified	/project/6090753/active/ovcan_gq/ammmasson_OvCAN_WES_bioinformatics_analysis_R004741/bam/OV1369(R2)_P66.bam		7247823134		McGill delivery	GRCh37 (McGill GenPipes)	P66			no provider checksum; header not read in this session (tool block); mtime_utc=2025-09-23T14:36Z
MEX01	OV1369-R2	retained annotated Mutect2 VCF (audited calls)	verified	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/annotation/mutect2/OV1369_R2_P66/OV1369_R2_P66.mutect2.filtered_VEP.ann.vcf.gz		5331867		sarek 3.5.1 angry_allen 2025-10-23 (Slurm 3273686)	GRCh38 (GATK Homo_sapiens_assembly38)	P66	Mutect2/FilterMutectCalls 4.5.0.0; VEP 113		--genotype-germline-sites false --genotype-pon-sites false --interval-padding 0: NOT eligible as unbiased SNP input (MEX05); mtime_utc=2025-10-24T03:47Z
MEX06	OV1369-R2	target-only CNR reconstructed on cluster from verified source CNR	verified	/project/6090753/active/ovcan_human/wes/molecular_extension_2026-09-06/inputs/target_only_cnr/OV1369_R2_P66.targetonly.cnr		15150190	13704ad8f979bfe7332b7810b28ce733f380c42c9300a3d7c94176a59e287117	manual CNVkit 0.9.10 (2025-11/12) + antitarget-row removal 2026-09-06	GRCh38 (GATK Homo_sapiens_assembly38)	P66	CNVkit 0.9.10	/project/6090753/active/ovcan_gq_analysis/cnvkit/OV1369_R2_P66_new/OV1369_R2_P66.cnr (sha256 6592582eb3f3...)	source CNR == repo source_cnr_sha256: True; reconstructed == repo target_only_cnr_sha256: True; 204706 target rows, 40923 antitarget rows dropped; mtime_utc=2026-09-06T17:44Z
MEX06	OV1369-R2	corrected target-only CNS (repository, script 29)	verified	repo:output/wes_cnv_target_only/OV1369-R2.cns			7869856ed9acf9b50650c8716462dc2b8a1609c79b3612ce8951cd415da24284		GRCh38 (GATK Homo_sapiens_assembly38)		CNVkit 0.9.10 segment CBS via script 29		present in clone at commit dca9bf9
MEX01	OV2085	duplicate-marked genome-wide CRAM (MSI / read review input)	verified	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/markduplicates/OV2085_P64/OV2085_P64.md.cram		3284484833		sarek 3.5.1 angry_allen 2025-10-23 (Slurm 3273686)	GRCh38 (GATK Homo_sapiens_assembly38)	P64	GATK 4.5.0.0 MarkDuplicates; bwa 0.7.18; samtools 1.20/1.21	/project/6090753/active/ovcan_human/wes/sarek_3.5.1_run/task_evidence/oct23_GATK4_MARKDUPLICATES_*	lane PU 7; RG SM OV2085_P64_OV2085_P64; all reads incl. off-target; not BQSR'd; index .crai present; mtime_utc=2025-10-29T15:14Z
MEX01	OV2085	published recalibrated CRAM (interval-restricted; mixed Oct-24/Oct-31 re-executions)	verified	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/recalibrated/OV2085_P64/OV2085_P64.recal.cram		4409793222		sarek 3.5.1 Oct-24 or Oct-31 launch (see mtime)	GRCh38 (GATK Homo_sapiens_assembly38)	P64	GATK 4.5.0.0 ApplyBQSR per shard		reads overlapping the 405 calling shards only; samtools quickcheck OK 2026-09-05; VCF headers name this filename but bytes are re-executions; mtime_utc=2025-10-31T17:59Z
