field	value	source_path	evidence_status	notes
workflow	nf-core/sarek	wes/sarek_3.5.1_run/pipeline_info/nf_core_sarek_software_mqc_versions.yml	found	Workflow: nf-core/sarek v3.5.1; Nextflow 24.10.2
workflow_release	v3.5.1	wes/sarek_3.5.1_run/pipeline_info/nf_core_sarek_software_mqc_versions.yml	found	local pipeline copy /scratch/asmab/nf-core/nf-core-sarek_3.5.1/3_5_1 (inaccessible now; path recorded in run_sarek.sh and .nextflow.log)
workflow_revision	3954909713023f4328e976337e6e2cb9	wes/sarek_3.5.1_run/launch/nextflow_history.tsv	found	Nextflow script revision hash recorded for all 8 launches; not a git commit of nf-core/sarek (local copy launched by path)
nextflow_version	24.10.2 build 5932	wes/sarek_3.5.1_run/logs/.nextflow.log	found	module nextflow/24.10.2 (run_sarek.sh)
nextflow_plugins	nf-schema@2.3.0; nf-amazon@2.9.2	wes/sarek_3.5.1_run/launch/obcf-graham.cfg; run_sarek.sh	found
container_engine	Singularity/Apptainer, autoMounts; NXF_SINGULARITY_CACHEDIR=/scratch/$USER/nf-core/	wes/sarek_3.5.1_run/launch/obcf-graham.cfg; run_sarek.sh	found	container digests not recorded in searched roots
executor	slurm, queueSize 80, scratch=$TMPDIR, clusterOptions '-x c32'	wes/sarek_3.5.1_run/launch/obcf-graham.cfg	found	process overrides: CREATE_INTERVALS_BED 10 GB/6 cpus; GATK4_BASERECALIBRATOR 50 GB; TABIX_BGZIPTABIX_INTERVAL_SPLIT time 3h
launch_command	nextflow run /scratch/asmab/nf-core/nf-core-sarek_3.5.1/3_5_1 --input /scratch/asmab/ovcan/samplesheet.csv --outdir wes_sarek_results_20251022 -c obcf-graham.cfg --wes --tools mutect2,vep --genome GATK.GRCh38 --igenomes_base /scratch/asmab/ovcan/references --intervals /scratch/asmab/ovcan/intervals_sorted.bed -plugins nf-schema@2.3.0 --nucleotides_per_second 600000 -resume	wes/sarek_3.5.1_run/launch/run_sarek.sh; logs/.nextflow.log*	found	Slurm wrapper: --account=def-dcook --ntasks-per-node=4 --mem-per-cpu=1G --time=12:59:00; the Oct-24 launch added cnvkit to --tools
launch_history	8 launches 2025-10-22..2025-10-31 in /project/6090753/active/ovcan_gq_analysis: fervent_edison (Oct-22, no status; Slurm 3166838), berserk_poitras (Oct-23 11:22, ERR GETPILEUPSUMMARIES OV2295_P61; 3262976), angry_allen (Oct-23 15:35, OK 8h13m, 38541 tasks; 3273686), angry_kilby (Oct-24 15:43, ERR GETPILEUPSUMMARIES TOV3133D_P66 after submit failures; tools +cnvkit; 3377445), fervent_escher (Oct-28, ERR BWAMEM1_MEM TOV2414_P65; new session; 3600209), scruffy_archimedes (Oct-29; walltime kill; 3624481), spontaneous_goldberg (Oct-30; walltime kill; 3703818), disturbed_kilby (Oct-31; walltime kill; 3731446)	wes/sarek_3.5.1_run/launch/nextflow_history.tsv; logs/slurm-*.out; pipeline_info/execution_trace_*.txt	found	session UUIDs: 801a38bc-ffa7-40e0-b6c8-e17fdf629fd7 (Oct-22/23a), 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2 (Oct-23b/24), 1d80816f-4d0e-4a07-8fa8-818e7b7f9db6 (Oct-28..31)
run_producing_retained_vcfs	angry_allen, session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, started 2025-10-23 15:35:15 EDT, completed 2025-10-23 23:48:40 EDT, 38,541 tasks succeeded	wes/sarek_3.5.1_run/logs/slurm-3273686.out; pipeline_info/execution_trace_2025-10-23_15-35-13.txt; file mtimes of variant_calling/mutect2 and annotation/mutect2	found	all 23 mutect2.filtered.vcf.gz (mtime Oct-23 22:42-22:43) and filtered_VEP.ann.vcf.gz (Oct-23 23:47) and MultiQC (23:48) belong to this run
